Article Title,Article Abstract,Publication Year,Publication Month,Publication Day
"Menopause: Physiology, definitions, and symptoms.","The menopause transition is usually a gradual process occurring over many years, caused by the cessation of ovarian reproductive function, resulting in the end of menstrual bleeding. In the peri-menopause, ovarian function and therefore the production of the hormones oestrogen, progesterone and testosterone can fluctuate greatly, leading to a wide variety of symptoms, affecting multiple organ systems. Menopause and the management of its associated symptoms can be very challenging for patients and clinicians alike and can negatively impact quality of life. The management options include lifestyle adjustment, talking therapies, dietary supplements as well as prescribed medications, including hormone replacement therapy. The UK's average life expectancy for women is approximately 81 years. Therefore, women will now live up to a third of their life being either peri- or postmenopausal. Thus, understanding and treating, where possible, the symptoms of menopause is essential to reduce the burden associated with this physiological state.",2023,12,21
The paradoxical role of zinc on microglia.,"Zinc is an essential trace element for humans, and its homeostasis is essential for the health of the central nervous system. Microglia, the resident immune cells in the central nervous system, play the roles of sustaining, nourishing, and immune surveillance. Microglia are sensitive to microenvironment changes and are easily activated to M1 phenotype to enhance disease progression or the M2 phenotype to improve peripheral nerves injury repair. Zinc is requisite for microglial activation, However, the cytotoxicity outcome of zinc against microglia, the activated microglia phenotype, and activated microglia function are ambiguous. Herein, we have reviewed the neurological function of zinc and microglia, particularly the ambiguous role of zinc on microglia. We also pay attention to the role of zinc homeostasis on microglial function within the central nervous system disease. Finally, we observe the relationship between zinc and microglia, attempting to design new therapeutic measures against major nervous system disorders.",2023,12,28
HIV-1 subtypes and latent reservoirs.,"We explore the current status of research on HIV-1 subtype-specific variations and their impact on HIV-1 latency. We also briefly address the controversy surrounding the decision-making process governing the ON/OFF states of HIV-1 transcription, specifically focusing on the regulatory elements, the long terminal repeat (LTR), and Tat. Understanding the decision-making process is crucial for developing effective intervention strategies, such as the 'shock-and-kill' approach, to reactivate latent HIV-1.",2023,12,12
Insights from the hereditary endocrine clinic.,"For nearly 25 years we participated in a clinic consisting of Geneticists, Endocrinologists and Endocrine Surgeons providing multidisciplinary care to patients and families affected with rare hereditary endocrine tumor syndromes. In this brief commentary we reflect on the evolution and successes of the clinic and recognize the foresight, leadership, support and academic rigor of our colleague Dr. Janice Pasieka in ensuring a world class experience for patients and team members over the past quarter century.",2023,12,27
Can nutrients act as signals under abiotic stress?,"Plant cells are in constant communication to coordinate development processes and environmental reactions. Under stressful conditions, such communication allows the plant cells to adjust their activities and development. This is due to intercellular signaling events which involve several components. In plant development, cell-to-cell signaling is ensured by mobile signals hormones, hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>), nitric oxide (NO), or hydrogen sulfide (H<sub>2</sub>S), as well as several transcription factors and small RNAs. Mineral nutrients, including macro and microelements, are determinant factors for plant growth and development and are, currently, recognized as potential signal molecules. This review aims to highlight the role of nutrients, particularly calcium, potassium, magnesium, nitrogen, phosphorus, and iron as signaling components with special attention to the mechanism of response against stress conditions.",2023,12,29
Acupressure for depression: A systematic review and meta-analysis.,"Depression is a common mental disorder caused by the interaction of social, psychological, and biological factors. Treatments include psychotherapy, pharmacotherapy, and other therapies, but they have limitations. Particularly, the COVID-19 pandemic may have a negative impact on depressed people. Thus, developing more potential treatments for depression has currently been an urgent challenge. A growing number of studies have found that acupressure is effective in relieving the symptoms of depression. Thus, this study aimed to evaluate the efficacy and safety of acupressure in people with depression. English (PubMed, CENTRAL, EMBASE, APA PsycINFO, and CINAHL) and Chinese databases (CBM, CNKI, Wanfang, and VIP), ClinicalTrials.gov and Chinese Clinical Trial Registry were searched for randomized controlled trials (RCTs) on patients diagnosed with depression from study inception until March 31, 2023. Studies that compared acupressure with sham acupressure, conventional treatments (i.e., medication, usual care, etc.), and acupressure as an adjunct to conventional treatment for depression were included. The primary outcome was depression level measured using the Hamilton Depression Scale, Self-Rating Depression Scale, or Geriatric Depression Scale. A total of 19 RCTs involving 1686 participants were included. The pooled results showed that acupressure exhibited a significant beneficial effect on reducing the severity of depression compared with sham acupressure and served as an adjunct to conventional treatment, although the evidence level was moderate. Thus, acupressure may be a potential treatment for depression.",2023,12,23
Plasmodium falciparum topoisomerases: Emerging targets for anti-malarial therapy.,"Different metabolic pathways like DNA replication, transcription, and recombination generate topological constrains in the genome. These topological constraints are resolved by essential molecular machines known as topoisomerases. To bring changes in DNA topology, the topoisomerases create a single or double-stranded nick in the template DNA, hold the nicked ends to let the tangled DNA pass through, and finally re-ligate the breaks. The DNA nicking and re-ligation activities as well as ATPase activities (when present) in topoisomerases are subjected to inhibition by several anticancer and antibacterial drugs, thus establishing these enzymes as successful targets in anticancer and antibacterial therapies. The anti-topoisomerase drugs interfere with the functioning of these enzymes and result in the accumulation of DNA tangles or lethal genomic breaks, thereby promoting host cell (or organism) death. The potential of topoisomerases in the human malarial parasite, Plasmodium falciparum in antimalarial drug development has received little attention so far. Interestingly, the parasite genome encodes orthologs of topoisomerases found in eukaryotes, prokaryotes, and archaea, thus, providing an enormous opportunity for investigating these enzymes for antimalarial therapeutics. This review focuses on the features of Plasmodium falciparum topoisomerases (PfTopos) with respect to their closer counterparts in other organisms. We will discuss overall advances and basic challenges with topoisomerase research in Plasmodium falciparum and our attempts to understand the interaction of PfTopos with classical and new-generation topoisomerase inhibitors using in silico molecular docking approach. The recent episodes of parasite resistance against artemisinin, the only effective antimalarial drug at present, further highlight the significance of investigating new drug targets including topoisomerases in antimalarial therapeutics.",2023,12,16
Systemic treatments in pancreatic cancer: Taiwan pancreas society recommendation.,"Pancreatic cancer is a highly aggressive malignancy with a poor prognosis. Over the past decade, significant therapeutic advancements have improved the survival rates of patients with pancreatic cancer. One of the primary factors contributing to these positive outcomes is the evolution of chemotherapy, from monotherapy to doublet or triplet regimens, and the integration of multimodal approaches. Additionally, targeted agents tailored to patients with specific genetic alterations and the development of cell therapies show promise in benefiting certain subpopulations. This article focuses on examining pivotal studies that explore the role of chemotherapy in neoadjuvant, adjuvant, maintenance, and salvage settings; highlights interesting findings related to cell therapy; and provides an overview of ongoing trials concerning metastatic settings. This review primarily aimed to offer recommendations based on therapeutic evidence, recent advancements in new treatment combinations, and the most innovative approaches. A unique aspect of this review is the inclusion of published papers on clinical trials and real-world data in Taiwan, thus adding a valuable perspective to the overall analysis.",2023,12,31
DYSREGULATED LEUKOTRIENE METABOLISM IN COVID-19 PATIENTS.,"The aim of this study was to examine leukotriene metabolism in COVID-19. A total of 180 people were included in the study. Of these, 60 were healthy controls, 60 were patients who needed intensive care unit (ICU), and 60 were patients who did not need intensive care (non-ICU). Serum levels of 5-lipoxygenase (5-LO), 5-LO activating protein (ALOX5AP) and cysteinyl leukotriene (CYSLT) were measured and mRNA expressions of 5-LO, ALOX5AP and cysteinyl leukotriene receptor 1 (CYSLTR1) were investigated. As compared to the control group, both non-ICU and ICU groups had lower levels of 5-LO and mRNA expression. ICU patients had lower levels of 5-LO and mRNA expression compared with non-ICU patients. The expression of CYSLTR1 mRNA was higher in patients compared to healthy controls. CYSLTR1 mRNA expression was found to be higher in ICU group than in non-ICU group. CYSLT levels were higher in the control group compared to both non-ICU and ICU patients. Due to the higher expressions of CYSLTR1 in patients than control group, selective leukotriene receptor blockers can be used as a treatment option. CYSLTR1 expressions were also higher in ICU group than non-ICU group. Thus, CYSLTR1 mRNA expression could be a promising biomarker of COVID-19 severity.",2023,12,28
"International strategies, experiences, and payment models to incentivise day surgery.","The importance of day surgery as a less costly alternative compared to conventional inpatient hospital stays is growing internationally. The rate of day surgery activities has increased across Europe. However, this trend has been heterogeneous across countries, and might still be below its potential. Since payment systems affect how providers offer care, they represent a policy instrument to further increase the rate of day surgeries. In this paper, we review international strategies to promote day surgery with a particular focus on payment models for 13 OECD countries (Australia, Austria, Canada, Denmark, England, Estonia, Finland, France, Germany, Netherlands, Norway, Sweden, Switzerland). We conduct a cross-country comparison based on an email survey of health policy experts and a comprehensive literature review of peer-reviewed papers and grey literature. Our research shows that all countries aim to strengthen day surgery activity to increase health system efficiency. Several countries used financial and non-financial policy measures to overcome misaligned incentive structures and promote day surgery activity. Financial incentives for day surgery can serve as a policy instrument to promote change. We recommend embedding these incentives in a comprehensive approach of restructuring health systems. In addition, we encourage countries to monitor and evaluate the effect of changes to payment systems on day surgeries to allow for more informed decision-making.",2023,12,17
